gene,p_value,log2_FC
HSD17B6,1.6987515641564277e-22,-2.009391780492218
LAMP3,0.0007905474073482193,-2.7471403941694508
SLCO1A2,3.985897524836311e-24,-3.7957308953011273
CRTAC1,5.1244283421061304e-18,-2.010071240009194
RS1,1.9100420569540492e-19,-2.0293761979018328
PRX,2.657265016557541e-23,-2.2730673578159575
LIM2,1.403681767356255e-09,-2.043752950048363
SLC6A4,1.7798160869561346e-13,-2.675856665978465
APOA5,9.87916188465768e-12,-2.2610099762571036
SEMA5A,1.0529176764331798e-14,-2.1649316080291596
BTNL8,5.725598654460999e-25,-2.1342756278830235
RBP2,4.526157535556904e-09,-2.048726039816421
VIPR1,5.495998860502861e-16,-2.0660321662017447
ADRA1A,1.2893169371421814e-27,-2.587693533681651
MYRF,1.0071130845757714e-18,-2.2351268478867707
HMGCS2,4.347241190621949e-08,-3.1337984980674594
SLC14A1,2.444273177434167e-15,-2.3797156506600396
PNMT,9.87916188465768e-12,-2.2903424887886064
FCN3,4.3959312991085254e-14,-2.25713441420056
GGTLC1,1.0071130845757714e-18,-2.2010524146005994
KLRF1,2.5182904995492983e-17,-2.099018306376058
OLAH,7.949767576555797e-06,-2.2242004719331745
FAM167A,1.042681994551187e-21,-2.944931919619828
ADCY8,1.1961879872859167e-16,-2.3148568715213473
SNX22,2.5182904995492983e-17,-2.0311855089845383
ITLN2,1.851421828810764e-30,-3.878343686974719
ALPP,1.0071130845757714e-18,-2.1157576109956477
DEFA4,7.949767576555797e-06,-3.914550357670253
BTNL9,1.6987515641564277e-22,-2.119780852557287
MS4A15,1.2893169371421814e-27,-2.6616407777048834
CA4,7.864833316567307e-26,-2.536509323147562
KIR3DL1,1.7798160869561346e-13,-2.1074535028820827
HTR3C,4.3959312991085254e-14,-2.5347564193373824
GRM8,2.444273177434167e-15,-2.6382607268812053
MAP3K15,1.5332417630879996e-28,-2.4423046483700612
RTKN2,3.492648332715976e-20,-2.996842201405436
RGS9BP,1.6987515641564277e-22,-2.1457226531166866
CCK,1.1961879872859167e-16,-2.904972117877819
HELT,1.0071130845757714e-18,-2.6284149253940887
KLRG2,5.725598654460999e-25,-2.631583934715834
AGER,2.657265016557541e-23,-2.390515340562567
LY6G6F,3.556498278476764e-11,-2.1479784747479624
DEFA1,0.020628004872154174,-3.760843940085973
DEFA1B,0.004225967707483569,-4.02620525101811
AL096711.2,1.6987515641564277e-22,-2.3450704671924663
LY6G6E,9.87916188465768e-12,-2.0290044746997764
MYZAP,2.657265016557541e-23,-2.1298858410387416
