gene,p_value,log2_FC
MEOX1,2.5182904995492983e-17,2.3241200461009743
USH1C,0.0003302972044400095,2.0973389543737158
PROM1,1.2958122779738501e-07,2.304971254398604
DPEP1,5.1244283421061304e-18,2.121474376262218
CLCA4,0.0003302972044400095,2.2301754934006808
CYP24A1,5.495998860502861e-16,2.517121309750914
CDH3,1.7820169578219105e-32,2.3475879360622205
COL17A1,1.594436225419604e-33,3.135108686325575
TP63,4.347241190621949e-08,2.137612814689034
ATP12A,3.556498278476764e-11,2.6265960963929373
FAT2,4.3959312991085254e-14,3.1918556415118147
SLC4A11,1.1961879872859167e-16,2.2798808977547105
MMP11,4.3959312991085254e-14,2.1434111627206827
DERL3,1.6987515641564277e-22,2.3659941521459165
VSIG1,4.347241190621949e-08,2.3208874282335117
CD79A,1.9100420569540492e-19,2.4765496092536496
SLC5A5,0.044068919499602094,2.3994068475650794
COMP,7.864833316567307e-26,2.9482244953312513
TMEM59L,2.5182904995492983e-17,2.320949664845866
COL1A1,2.5182904995492983e-17,2.149411408538093
PDE10A,1.7798160869561346e-13,2.3632427122164996
COL7A1,1.6987515641564277e-22,2.139495759765449
UPK1B,2.0920440990936313e-05,2.5348134304794345
OTX1,0.00013481518548571816,2.2686406865737165
MUC5B,3.556498278476764e-11,3.215120846943474
TP53AIP1,1.4212134661648678e-08,2.463753176103219
IL13RA2,3.985897524836311e-24,2.360559942441732
COL10A1,3.985897524836311e-24,3.054363836923567
CXCL6,0.004225967707483569,2.119377273971804
BPIFB1,2.6667676253063676e-12,3.1190082909610815
TNS4,6.1518237678520026e-21,2.589459793679806
FCRLA,1.0071130845757714e-18,2.375406171200597
POSTN,3.985897524836311e-24,2.0027223808992702
FAM83F,2.6667676253063676e-12,2.4421306046800937
ERN2,1.7798160869561346e-13,2.8037629353945728
DSC3,2.444273177434167e-15,3.315649431511284
BAAT,1.2893169371421814e-27,2.9073851895005838
TFAP2A,2.6667676253063676e-12,2.4199807996057365
NXPE4,1.403681767356255e-09,2.066515194379768
TMPRSS4,1.042681994551187e-21,3.358075487688481
MMP13,1.2447743974668676e-10,3.2227084899193508
STRA6,3.985897524836311e-24,2.8354294461667653
GPR87,7.864833316567307e-26,3.8474076693600003
ADAMTS14,1.7798160869561346e-13,2.5174813158308638
GCNT3,1.9100420569540492e-19,2.3954357000608755
ADAMTS18,7.949767576555797e-06,2.2502837038103403
PADI3,1.0529176764331798e-14,2.3927846924317158
PADI1,1.2958122779738501e-07,2.1197392442740957
FCRL5,1.5332417630879996e-28,2.349204490822189
MUC4,4.3959312991085254e-14,2.587280365391343
ADAMTS16,2.444273177434167e-15,2.4228988087285033
SHISAL2B,7.949767576555797e-06,2.2599641875205996
FAM83A,6.1518237678520026e-21,3.076549637967971
PLEKHS1,4.2375298637169957e-10,2.505210630600289
SYT8,7.949767576555797e-06,2.0687177940181387
MMP3,0.0003302972044400095,2.1030934929641036
ADGRF4,2.5182904995492983e-17,2.0379784837008272
THY1,3.492648332715976e-20,2.0357896303600467
PROM2,5.495998860502861e-16,2.0986028444578233
CXCL13,3.985897524836311e-24,3.8806081409035555
FUT6,0.0003302972044400095,2.041924052646171
MS4A1,2.6667676253063676e-12,2.0625653165095046
TNFRSF13C,1.1961879872859167e-16,2.284477655519629
CILP2,1.2893169371421814e-27,2.711839918319774
SCGB3A1,7.949767576555797e-06,2.179077702419789
AQP5,1.4212134661648678e-08,2.1289991915147706
PGLYRP4,1.0668039445709244e-06,2.0717490782662207
CTHRC1,7.864833316567307e-26,2.2916978153783822
CLDN2,1.6987515641564277e-22,2.440780185450825
TSHR,2.444273177434167e-15,2.2223924213364477
MOGAT2,4.526157535556904e-09,2.0132968226134578
SCG5,1.8711178057130062e-31,2.160875497449002
GREM1,1.0314535497137452e-26,3.2363835487345534
UGT1A6,1.7798160869561346e-13,3.204971509214419
LY6D,2.5182904995492983e-17,3.677659849484799
KLK6,5.1244283421061304e-18,2.935561135418451
PNOC,5.1244283421061304e-18,2.255399271526886
COL3A1,5.1244283421061304e-18,2.082766929666253
SPRR1A,5.725598654460999e-25,4.345600496541316
BNC1,1.1961879872859167e-16,2.5195006930553854
DRD5,6.1518237678520026e-21,2.330552258302535
SLN,3.7651903926032625e-07,2.3136703377889933
CST1,4.3959312991085254e-14,4.977912379360682
MZB1,1.6987515641564277e-22,2.546170160289865
HS6ST2,5.725598654460999e-25,2.299100933952946
KRT15,1.9100420569540492e-19,2.8949331066453885
KRT13,1.0668039445709244e-06,2.064637116190857
ECEL1,4.526157535556904e-09,2.3250854715692624
GAP43,3.985897524836311e-24,2.4738618263265386
SYT12,1.2893169371421814e-27,2.3063717276658027
TEX26,0.0094423965964086,2.0697883301568623
CALML3,1.0529176764331798e-14,2.6403298111210867
DNAJC22,1.1961879872859167e-16,2.098051194668305
LGALS7B,5.495998860502861e-16,3.7596385924932427
B3GNT3,1.042681994551187e-21,2.7626206122943304
DEFB124,1.403681767356255e-09,2.079330941615932
MUC16,1.403681767356255e-09,2.304827924192114
FDCSP,5.1244283421061304e-18,4.26646373862738
ALDH1A3,1.042681994551187e-21,2.015612402681715
LRRC26,2.948258174086918e-06,2.107338106890847
WT1,1.2958122779738501e-07,2.207830499880545
IFNE,1.2447743974668676e-10,2.595096877854869
CYP27C1,5.725598654460999e-25,2.067359727784177
KRT14,6.1518237678520026e-21,3.4946185664541134
COL14A1,3.985897524836311e-24,2.0749733857120365
PLA2G2A,2.5182904995492983e-17,2.2897736778334696
GJB5,3.556498278476764e-11,2.4789100588967794
S100A2,7.864833316567307e-26,3.6580566947006767
SERPINB13,4.3959312991085254e-14,2.898740582644416
BPIFA1,7.949767576555797e-06,2.923209191380742
PAX9,4.347241190621949e-08,2.2419626487294284
IGFL2,7.569279208106523e-37,3.399082633865001
LGALS7,1.7798160869561346e-13,2.9815476570417667
KRT6A,0.004225967707483569,2.7897641124577945
